id,name,bodyPart,mode,instructions,mediaUrl,type,exRxLink,classification,target,synergists,stabilizers,dynamicStabilizers
e0083,Cobra Stretch,ABS,,,148213,FLEXIBILITY,,,,,,
e0084,Knees To Chest,LOWERBACK,,,055913,FLEXIBILITY,,,,,,
e0085,Cat Cow,LOWERBACK,,,458013,FLEXIBILITY,,,,,,
e0086,Calf Stretch,CALVES,,,137713,FLEXIBILITY,,,,,,
e0087,Jog,,,,068413,FLEXIBILITY,,,,,,
e0088,Bodyweight Squats,,,,078713,FLEXIBILITY,,,,,,
e0089,Bodyweight Lunges,,,,061213,FLEXIBILITY,,,,,,
e0090,Leg Swings,ABDUCTORS,,,095513,FLEXIBILITY,,,,,,
e0091,Arm Circles,SHOULDERS,,,390513,FLEXIBILITY,,,,,,
e0092,Run,,,,068413,CARDIO,,,,,,
e0093,Stair Stepper,,,,231113,CARDIO,,,,,,
e0094,Jump Rope,,,,261213,CARDIO,,,,,,
e0095,Sprint,,,,085813,CARDIO,,,,,,
e0096,Walk,,,,082813,CARDIO,,,,,,
e0097,Rowing,,,,116113,CARDIO,,,,,,
e0098,Cycling,,,,233113,CARDIO,,,,,,
e0099,Windmill ,,,,"390813
",FLEXIBILITY,,,,,,
e0100,Bodyweight Squats,QUADS,,,078713,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/BWSquat,BASIC,QUADS,,,
e0101,Bodyweight Lunges,HAMSTRINGS,,,061213,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/BWLunge,NEUTRAL,QUADS,,,
e0102,Silent Burpee,CHEST,,,503913,STRENGTH,,,,,,
e0103,Burpee,CHEST,,,116013,STRENGTH,https://exrx.net/Aerobic/Exercises/Burpee,,,,,
e0104,Mountain Climber,ABS,CORE,,063013,STRENGTH,https://exrx.net/Aerobic/Exercises/MountainClimber,,,,,
e0105,Pull Up,BACK,PULL,,065213,STRENGTH,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup,BASIC,LATISSIMUS_DORSI,,,
e0106,Flutter Kicks,ABS,CORE,,045913,STRENGTH,https://exrx.net/WeightExercises/HipFlexors/BWScissorKick,BASIC,,,,
